,Year,Sector,Sectoral_share_of_gdp
0,2005,Basic metals,0.09583680873907562
1,2005,Construction,0.11581267871570781
2,2005,Textiles,0.05247381740018599
3,2005,Other (including electric components and electronics),0.25406513581849344
4,2005,"Chemicals, petroleum and coal products",0.21363427987778186
5,2005,Non-metallic metal products,0.015771627186783366
6,2005,Transport equipment,0.07012025811284923
7,2005,Machinery,0.10598399534821933
8,2005,Mining,0.004316943936896069
9,2005,Food and tobaccoo products,0.046864893647139784
10,2005,Pulp paper and printing,0.025119561216867495
11,2006,Basic metals,0.09616929704342772
12,2006,Construction,0.11635048477732443
13,2006,Textiles,0.048386628078208385
14,2006,Other (including electric components and electronics),0.2828028729290446
15,2006,"Chemicals, petroleum and coal products",0.20381983849918647
16,2006,Non-metallic metal products,0.016417373183639436
17,2006,Transport equipment,0.059803471128686225
18,2006,Machinery,0.10374169294425487
19,2006,Mining,0.0032661438637413788
20,2006,Food and tobaccoo products,0.044545060664250305
21,2006,Pulp paper and printing,0.02469713688823615
22,2007,Basic metals,0.09157388138161905
23,2007,Construction,0.10710401607926522
24,2007,Textiles,0.04454431568982766
25,2007,Other (including electric components and electronics),0.30920927823493694
26,2007,"Chemicals, petroleum and coal products",0.2009627279147536
27,2007,Non-metallic metal products,0.017254409289565068
28,2007,Transport equipment,0.05810024643035409
29,2007,Machinery,0.10146870396390353
30,2007,Mining,0.0030084354731174786
31,2007,Food and tobaccoo products,0.04289597201933644
32,2007,Pulp paper and printing,0.023878013523320907
33,2008,Basic metals,0.09041174419541151
34,2008,Construction,0.09948929500130055
35,2008,Textiles,0.0423078055452212
36,2008,Other (including electric components and electronics),0.33781837550114857
37,2008,"Chemicals, petroleum and coal products",0.18648482204404146
38,2008,Non-metallic metal products,0.01814001575255687
39,2008,Transport equipment,0.05551961173864771
40,2008,Machinery,0.09839289368435371
41,2008,Mining,0.002785530909100642
42,2008,Food and tobaccoo products,0.04451934384298638
43,2008,Pulp paper and printing,0.02413056178523138
44,2009,Basic metals,0.08125153416724129
45,2009,Construction,0.09268509059353047
46,2009,Textiles,0.039298107665183345
47,2009,Other (including electric components and electronics),0.3644190840728741
48,2009,"Chemicals, petroleum and coal products",0.1977308584308665
49,2009,Non-metallic metal products,0.019970146760602686
50,2009,Transport equipment,0.05095217676051102
51,2009,Machinery,0.08257053604439994
52,2009,Mining,0.0026397861892864453
53,2009,Food and tobaccoo products,0.04780439660502158
54,2009,Pulp paper and printing,0.020678282710482655
55,2010,Basic metals,0.08601029274015486
56,2010,Construction,0.08684908313773437
57,2010,Textiles,0.03797009788753122
58,2010,Other (including electric components and electronics),0.3780051589487887
59,2010,"Chemicals, petroleum and coal products",0.1821378526127241
60,2010,Non-metallic metal products,0.02147248910054667
61,2010,Transport equipment,0.04940540431751686
62,2010,Machinery,0.09456884789906171
63,2010,Mining,0.003136501659132019
64,2010,Food and tobaccoo products,0.041177878910616514
65,2010,Pulp paper and printing,0.019266392786192934
66,2011,Basic metals,0.08451100650529256
67,2011,Construction,0.08285192532194924
68,2011,Textiles,0.034123590661799603
69,2011,Other (including electric components and electronics),0.39983163750243955
70,2011,"Chemicals, petroleum and coal products",0.17202308541595987
71,2011,Non-metallic metal products,0.02332313446395764
72,2011,Transport equipment,0.049246525370957646
73,2011,Machinery,0.09187750905844075
74,2011,Mining,0.0028189733015002985
75,2011,Food and tobaccoo products,0.04126642801127589
76,2011,Pulp paper and printing,0.018126184386426967
77,2012,Basic metals,0.08051133173702117
78,2012,Construction,0.07918386541073048
79,2012,Textiles,0.03164133840698283
80,2012,Other (including electric components and electronics),0.42901730831058027
81,2012,"Chemicals, petroleum and coal products",0.16066430898717352
82,2012,Non-metallic metal products,0.02443969922791595
83,2012,Transport equipment,0.04509009246774186
84,2012,Machinery,0.08752314092813236
85,2012,Mining,0.0027445692596342556
86,2012,Food and tobaccoo products,0.041515376900819106
87,2012,Pulp paper and printing,0.017668968363268187
88,2013,Basic metals,0.09057849623826407
89,2013,Construction,0.07790678445879526
90,2013,Textiles,0.03190185795464867
91,2013,Other (including electric components and electronics),0.42951583884379785
92,2013,"Chemicals, petroleum and coal products",0.16336382137611385
93,2013,Non-metallic metal products,0.02481773751242816
94,2013,Transport equipment,0.04309707924937201
95,2013,Machinery,0.07919918182500892
96,2013,Mining,0.002559699637937715
97,2013,Food and tobaccoo products,0.03981711294421829
98,2013,Pulp paper and printing,0.01724238995941524
99,2014,Basic metals,0.09417925622217349
100,2014,Construction,0.07198467532159794
101,2014,Textiles,0.029787206276854203
102,2014,Other (including electric components and electronics),0.45441651675046346
103,2014,"Chemicals, petroleum and coal products",0.1511448950334738
104,2014,Non-metallic metal products,0.02190731186410818
105,2014,Transport equipment,0.043422612245696934
106,2014,Machinery,0.0773617404004836
107,2014,Mining,0.002229812138413193
108,2014,Food and tobaccoo products,0.03693819629043466
109,2014,Pulp paper and printing,0.016627777456300508
110,2015,Basic metals,0.09451854083714537
111,2015,Construction,0.07073953015675667
112,2015,Textiles,0.028668698127731075
113,2015,Other (including electric components and electronics),0.4627612986773172
114,2015,"Chemicals, petroleum and coal products",0.15235787948383592
115,2015,Non-metallic metal products,0.0209861909730966
116,2015,Transport equipment,0.04256393261661447
117,2015,Machinery,0.0728799267762631
118,2015,Mining,0.0020511284096842914
119,2015,Food and tobaccoo products,0.03633760250753551
120,2015,Pulp paper and printing,0.016135271434019827
121,2016,Basic metals,0.10193777952698382
122,2016,Construction,0.06764984916937028
123,2016,Textiles,0.027149184277284844
124,2016,Other (including electric components and electronics),0.4688300367344239
125,2016,"Chemicals, petroleum and coal products",0.14708199414315795
126,2016,Non-metallic metal products,0.019796211645302698
127,2016,Transport equipment,0.04074335626204613
128,2016,Machinery,0.07116764000988536
129,2016,Mining,0.0017799560950744677
130,2016,Food and tobaccoo products,0.03772954078843927
131,2016,Pulp paper and printing,0.01613445134803127
132,2017,Basic metals,0.09951229907309403
133,2017,Construction,0.06391945452707895
134,2017,Textiles,0.026412158599557974
135,2017,Other (including electric components and electronics),0.47749438458410665
136,2017,"Chemicals, petroleum and coal products",0.14456630656449365
137,2017,Non-metallic metal products,0.01889145775178099
138,2017,Transport equipment,0.03951544856341718
139,2017,Machinery,0.07493953683689322
140,2017,Mining,0.0017120065308834163
141,2017,Food and tobaccoo products,0.03776442595838129
142,2017,Pulp paper and printing,0.015272521010312623
143,2018,Basic metals,0.09741069496289244
144,2018,Construction,0.0635117944977287
145,2018,Textiles,0.025247163573389707
146,2018,Other (including electric components and electronics),0.48123132995407314
147,2018,"Chemicals, petroleum and coal products",0.14416471289346747
148,2018,Non-metallic metal products,0.018580432760954533
149,2018,Transport equipment,0.038749695116689555
150,2018,Machinery,0.07776483153259361
151,2018,Mining,0.001803717919288434
152,2018,Food and tobaccoo products,0.036547204336498315
153,2018,Pulp paper and printing,0.014988422452424077
154,2019,Basic metals,0.08998228601153542
155,2019,Construction,0.06562975661736704
156,2019,Textiles,0.023937310861576203
157,2019,Other (including electric components and electronics),0.5048561797131884
158,2019,"Chemicals, petroleum and coal products",0.1357922279500188
159,2019,Non-metallic metal products,0.017172327254073496
160,2019,Transport equipment,0.039082801032685285
161,2019,Machinery,0.07114623140752024
162,2019,Mining,0.001801132397797675
163,2019,Food and tobaccoo products,0.0369020402622319
164,2019,Pulp paper and printing,0.013697706492005579
